category,title,url
แผนที่,ข้อมูลพิกัด  LAT/LONG ที่ตั้งตำบล,https://data.go.th/DatasetDetail.aspx?id=c6d42e1b-3219-47e1-b6b7-dfe914f27910
เศรษฐกิจ การเงิน และอุตสาหกรรม,รายได้เฉลี่ยต่อเดือนต่อครัวเรือน จำแนกตามภาค และจังหวัด พ.ศ. 2539 - 2556,https://data.go.th/DatasetDetail.aspx?id=7049410f-5bb8-4c75-9e94-112ca18b63e2
เศรษฐกิจ การเงิน และอุตสาหกรรม,ข้อมูลการจดทะเบียนนิติบุคคล พ.ศ. 2558 รายชื่อนิติบุคคลจัดตั้งใหม่ เดือนมกราคม,https://data.go.th/DatasetDetail.aspx?id=ffe0737c-e9d9-40be-89bb-46d2a109b383
การเมือง และการปกครอง,"รายชื่อหน่วยงานของรัฐประเภทองค์การมหาชน,องค์การอิสระ,รัฐวิสาหกิจ",https://data.go.th/DatasetDetail.aspx?id=9a353d99-b640-4448-a4c2-471767d37211
การศึกษา,ข้อมูลพื้นฐานสถานศึกษา ปี 2558,https://data.go.th/DatasetDetail.aspx?id=8548e3ab-00bf-4eae-b29a-156a4aa52c0d
กฎหมาย ศาล และอาชญากรรม,ข้อมูลสถิติการจับกุมคดียาเสพติด ประจำปีงบประมาณ 2558,https://data.go.th/DatasetDetail.aspx?id=d0956a1d-5b67-4c24-97b8-be07264d6130
คมนาคม และโลจิสติกส์,ปริมาณการเดินทาง,https://data.go.th/DatasetDetail.aspx?id=15aeaf83-23a0-4022-91f3-1ba952c19a26
เทคโนโลยีสารสนเทศ และการสื่อสาร,นามสงเคราะห์ส่วนราชการไทย ประจำปี 2558-2559,https://data.go.th/DatasetDetail.aspx?id=a791c4d4-dfe9-4def-ad40-a496392d255e
คมนาคม และโลจิสติกส์,จำนวนรถจดทะเบียน (สะสม) ณ วันที่ 31 ธันวาคม 2558,https://data.go.th/DatasetDetail.aspx?id=19d8d378-6dfd-4a51-a16a-0dd5db308e14
คมนาคม และโลจิสติกส์,ปริมาณจราจร,https://data.go.th/DatasetDetail.aspx?id=4be8c846-a4db-4ec4-99dd-59688b9e0dea
สังคมและสวัสดิการ,รายได้เฉลี่ยต่อปีของคนและครัวเรือน (รายจังหวัด) จากข้อมูล จปฐ ปี 2558,https://data.go.th/DatasetDetail.aspx?id=d99ee57d-d999-4c40-92cc-b483afcd72d6
เกษตรกรรม และชลประทาน,ข้อมูลคำอธิบายกลุ่มชุดดิน,https://data.go.th/DatasetDetail.aspx?id=20f9bb85-581f-4d5b-acd0-c2bcc1208e90
เกษตรกรรม และชลประทาน,ข้อมูลสัตว์น้ำของไทย กรมประมง,https://data.go.th/DatasetDetail.aspx?id=cb5d392d-2824-4ac4-a171-2c4796ce81c2
คมนาคม และโลจิสติกส์,สถิติขนส่งทางอากาศปริมาณการจราจรทางอากาศรวมปี 2557,https://data.go.th/DatasetDetail.aspx?id=ac34b92c-7bdf-40d2-9940-e24236e5ad35
สาธารณสุข,ผู้บาดเจ็บและเสียชีวิต ในช่วงเทศกาล ปี 51-58_CutName_NewYear_Edit,https://data.go.th/DatasetDetail.aspx?id=7d61f508-d2e1-4f0c-8408-dfde29f111f5
การศึกษา,สถิติการศึกษาต่อของนักเรียนทุนรัฐบาลตามประเทศที่ศึกษาและประเภททุน ในเดือนมีนาคม 2558,https://data.go.th/DatasetDetail.aspx?id=63eec647-1115-44fb-ac17-07f6ec3b6c52
เทคโนโลยีสารสนเทศ และการสื่อสาร,ชุดข้อมูลการเชื่อมโยงเครือข่ายสารสนเทศภาครัฐทั่วประเทศ,https://data.go.th/DatasetDetail.aspx?id=ae3c5ea4-041e-40f8-84b5-e41c8462f876
คมนาคม และโลจิสติกส์,สถิติขนส่งทางอากาศปริมาณการจราจรทางอากาศของสายการบินต้นทุนต่ำปี 2553,https://data.go.th/DatasetDetail.aspx?id=1e4f4571-2f11-4f2b-90ad-05bfecc8956f
ภูมิอากาศ และภัยพิบัติ,ข้อมูลนํ้าฝนรวมรายชั่วโมง ปี 2014,https://data.go.th/DatasetDetail.aspx?id=e9ab5b50-d228-4953-ac6f-aeeed71ec751
พลังงาน ทรัพยากรธรรมชาติ และสิ่งแวดล้อม,ปริมาณการจำหน่ายรายจังหวัด น้ำมันดีเซลหมุนเร็วธรรมดา,https://data.go.th/DatasetDetail.aspx?id=57f695c3-ca63-4c7a-9cc0-1a13ec112c8b
คมนาคม และโลจิสติกส์,รายงานด้านการจราจร,https://data.go.th/DatasetDetail.aspx?id=a5df92a1-a0ba-496b-8f44-bc3fe38a37e4
